Indicator 56 Monthly fuel usage of the generator sets and boilers,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Aug-01,-68.57661111,77.96738889,Davis,Fuel usage,58376,,litres,,
Aug-01,-66.28180556,110.5276111,Casey,Fuel usage,52516,,litres,,
Aug-01,-54.61988889,158.861,Macquarie Island,Fuel usage,19672,,litres,,
Sep-01,-67.60269444,62.87380556,Mawson,Fuel usage,54855,,litres,,
Sep-01,-68.57661111,77.96738889,Davis,Fuel usage,49214,,litres,,
Sep-01,-66.28180556,110.5276111,Casey,Fuel usage,49496,,litres,,
Sep-01,-54.61988889,158.861,Macquarie Island,Fuel usage,16944,,litres,,
Oct-01,-67.60269444,62.87380556,Mawson,Fuel usage,50538,,litres,,
Oct-01,-68.57661111,77.96738889,Davis,Fuel usage,46430,,litres,,
Oct-01,-66.28180556,110.5276111,Casey,Fuel usage,50344,,litres,,
Oct-01,-54.61988889,158.861,Macquarie Island,Fuel usage,18799,,litres,,
Nov-01,-67.60269444,62.87380556,Mawson,Fuel usage,42353,,litres,,
Nov-01,-68.57661111,77.96738889,Davis,Fuel usage,41412,,litres,,
Nov-01,-66.28180556,110.5276111,Casey,Fuel usage,46611,,litres,,
Nov-01,-54.61988889,158.861,Macquarie Island,Fuel usage,18120,,litres,,
Dec-01,-67.60269444,62.87380556,Mawson,Fuel usage,40945,,litres,,
Dec-01,-68.57661111,77.96738889,Davis,Fuel usage,45885,,litres,,
Dec-01,-66.28180556,110.5276111,Casey,Fuel usage,46590,,litres,,
Dec-01,-54.61988889,158.861,Macquarie Island,Fuel usage,18724,,litres,,
Jan-02,-67.60269444,62.87380556,Mawson,Fuel usage,37370,,litres,,
Jan-02,-68.57661111,77.96738889,Davis,Fuel usage,43589,,litres,,
Jan-02,-66.28180556,110.5276111,Casey,Fuel usage,36995,,litres,,
Jan-02,-54.61988889,158.861,Macquarie Island,Fuel usage,16945,,litres,,
Feb-02,-67.60269444,62.87380556,Mawson,Fuel usage,37502,,litres,,
Feb-02,-68.57661111,77.96738889,Davis,Fuel usage,42613,,litres,,
Feb-02,-66.28180556,110.5276111,Casey,Fuel usage,34684,,litres,,
Feb-02,-54.61988889,158.861,Macquarie Island,Fuel usage,14032,,litres,,
Mar-02,-67.60269444,62.87380556,Mawson,Fuel usage,47340,,litres,,
Mar-02,-68.57661111,77.96738889,Davis,Fuel usage,44609,,litres,,
Mar-02,-66.28180556,110.5276111,Casey,Fuel usage,44817,,litres,,
Mar-02,-54.61988889,158.861,Macquarie Island,Fuel usage,16465,,litres,,
Apr-02,-67.60269444,62.87380556,Mawson,Fuel usage,50658,,litres,,
Apr-02,-68.57661111,77.96738889,Davis,Fuel usage,47112,,litres,,
Apr-02,-66.28180556,110.5276111,Casey,Fuel usage,48255,,litres,,
Apr-02,-54.61988889,158.861,Macquarie Island,Fuel usage,15919,,litres,,
May-02,-67.60269444,62.87380556,Mawson,Fuel usage,54016,,litres,,
May-02,-68.57661111,77.96738889,Davis,Fuel usage,47725,,litres,,
May-02,-66.28180556,110.5276111,Casey,Fuel usage,52538,,litres,,
May-02,-54.61988889,158.861,Macquarie Island,Fuel usage,17594,,litres,,
Jun-02,-67.60269444,62.87380556,Mawson,Fuel usage,56689,,litres,,
Jun-02,-68.57661111,77.96738889,Davis,Fuel usage,49091,,litres,,
Jun-02,-66.28180556,110.5276111,Casey,Fuel usage,44296,,litres,,
Jun-02,-54.61988889,158.861,Macquarie Island,Fuel usage,17391,,litres,,
Jul-02,-67.60269444,62.87380556,Mawson,Fuel usage,56077,,litres,,
Jul-02,-68.57661111,77.96738889,Davis,Fuel usage,51434,,litres,,
Jul-02,-66.28180556,110.5276111,Casey,Fuel usage,48053,,litres,,
Jul-02,-54.61988889,158.861,Macquarie Island,Fuel usage,17272,,litres,,
Aug-02,-67.60269444,62.87380556,Mawson,Fuel usage,55538,,litres,,
Aug-02,-68.57661111,77.96738889,Davis,Fuel usage,53892,,litres,,
Aug-02,-66.28180556,110.5276111,Casey,Fuel usage,49282,,litres,,
Aug-02,-54.61988889,158.861,Macquarie Island,Fuel usage,17708,,litres,,
Sep-02,-67.60269444,62.87380556,Mawson,Fuel usage,50089,,litres,,
Sep-02,-68.57661111,77.96738889,Davis,Fuel usage,50101,,litres,,
Sep-02,-66.28180556,110.5276111,Casey,Fuel usage,47137,,litres,,
Sep-02,-54.61988889,158.861,Macquarie Island,Fuel usage,17087,,litres,,
Oct-02,-67.60269444,62.87380556,Mawson,Fuel usage,52785,,litres,,
Oct-02,-68.57661111,77.96738889,Davis,Fuel usage,54437,,litres,,
Oct-02,-66.28180556,110.5276111,Casey,Fuel usage,46110,,litres,,
Oct-02,-54.61988889,158.861,Macquarie Island,Fuel usage,15523,,litres,,
Nov-02,-67.60269444,62.87380556,Mawson,Fuel usage,45700,,litres,,
Nov-02,-68.57661111,77.96738889,Davis,Fuel usage,47043,,litres,,
Nov-02,-66.28180556,110.5276111,Casey,Fuel usage,44427,,litres,,
Nov-02,-54.61988889,158.861,Macquarie Island,Fuel usage,14589,,litres,,
Dec-02,-67.60269444,62.87380556,Mawson,Fuel usage,40148,,litres,,
Dec-02,-68.57661111,77.96738889,Davis,Fuel usage,47023,,litres,,
Dec-02,-66.28180556,110.5276111,Casey,Fuel usage,39135,,litres,,
Dec-02,-54.61988889,158.861,Macquarie Island,Fuel usage,14883,,litres,,
Jan-03,-67.60269444,62.87380556,Mawson,Fuel usage,35652,,litres,,
Jan-03,-68.57661111,77.96738889,Davis,Fuel usage,47015,,litres,,
Jan-03,-66.28180556,110.5276111,Casey,Fuel usage,38506,,litres,,
Jan-03,-54.61988889,158.861,Macquarie Island,Fuel usage,14744,,litres,,
Feb-03,-67.60269444,62.87380556,Mawson,Fuel usage,29850,,litres,,
Feb-03,-68.57661111,77.96738889,Davis,Fuel usage,42885,,litres,,
Feb-03,-66.28180556,110.5276111,Casey,Fuel usage,31943,,litres,,
Feb-03,-54.61988889,158.861,Macquarie Island,Fuel usage,13913,,litres,,
Mar-03,-67.60269444,62.87380556,Mawson,Fuel usage,27240,,litres,,
Mar-03,-68.57661111,77.96738889,Davis,Fuel usage,48622,,litres,,
Mar-03,-66.28180556,110.5276111,Casey,Fuel usage,44153,,litres,,
Mar-03,-54.61988889,158.861,Macquarie Island,Fuel usage,13570,,litres,,
Apr-03,-67.60269444,62.87380556,Mawson,Fuel usage,35784,,litres,,
Apr-03,-68.57661111,77.96738889,Davis,Fuel usage,49019,,litres,,
Apr-03,-66.28180556,110.5276111,Casey,Fuel usage,37088,,litres,,
Apr-03,-54.61988889,158.861,Macquarie Island,Fuel usage,15530,,litres,,
May-03,-67.60269444,62.87380556,Mawson,Fuel usage,35848,,litres,,
May-03,-68.57661111,77.96738889,Davis,Fuel usage,56981,,litres,,
May-03,-66.28180556,110.5276111,Casey,Fuel usage,47107,,litres,,
May-03,-54.61988889,158.861,Macquarie Island,Fuel usage,14390,,litres,,
Jun-03,-67.60269444,62.87380556,Mawson,Fuel usage,37692,,litres,,
Jun-03,-68.57661111,77.96738889,Davis,Fuel usage,52308,,litres,,
Jun-03,-66.28180556,110.5276111,Casey,Fuel usage,42839,,litres,,
Jun-03,-54.61988889,158.861,Macquarie Island,Fuel usage,16677,,litres,,
Jul-03,-67.60269444,62.87380556,Mawson,Fuel usage,42260,,litres,,
Jul-03,-68.57661111,77.96738889,Davis,Fuel usage,58104,,litres,,
Jul-03,-66.28180556,110.5276111,Casey,Fuel usage,45299,,litres,,
Jul-03,-54.61988889,158.861,Macquarie Island,Fuel usage,14700,,litres,,
Aug-03,-67.60269444,62.87380556,Mawson,Fuel usage,45466,,litres,,
Aug-03,-68.57661111,77.96738889,Davis,Fuel usage,56185,,litres,,
Aug-03,-66.28180556,110.5276111,Casey,Fuel usage,41286,,litres,,
Aug-03,-54.61988889,158.861,Macquarie Island,Fuel usage,16328,,litres,,
Sep-03,-67.60269444,62.87380556,Mawson,Fuel usage,40183,,litres,,
Sep-03,-68.57661111,77.96738889,Davis,Fuel usage,48622,,litres,,
Sep-03,-66.28180556,110.5276111,Casey,Fuel usage,42960,,litres,,
Sep-03,-54.61988889,158.861,Macquarie Island,Fuel usage,15821,,litres,,
Oct-03,-67.60269444,62.87380556,Mawson,Fuel usage,30214,,litres,,
Oct-03,-68.57661111,77.96738889,Davis,Fuel usage,46959,,litres,,
Oct-03,-66.28180556,110.5276111,Casey,Fuel usage,44381,,litres,,
Oct-03,-54.61988889,158.861,Macquarie Island,Fuel usage,15667,,litres,,
Nov-03,-67.60269444,62.87380556,Mawson,Fuel usage,29937,,litres,,
Nov-03,-68.57661111,77.96738889,Davis,Fuel usage,44818,,litres,,
Nov-03,-66.28180556,110.5276111,Casey,Fuel usage,43762,,litres,,
Nov-03,-54.61988889,158.861,Macquarie Island,Fuel usage,15082,,litres,,
Dec-03,-67.60269444,62.87380556,Mawson,Fuel usage,28098,,litres,,
Dec-03,-68.57661111,77.96738889,Davis,Fuel usage,46592,,litres,,
Dec-03,-66.28180556,110.5276111,Casey,Fuel usage,43248,,litres,,
Dec-03,-54.61988889,158.861,Macquarie Island,Fuel usage,15869,,litres,,
Jan-04,-67.60269444,62.87380556,Mawson,Fuel usage,26813,,litres,,
Jan-04,-68.57661111,77.96738889,Davis,Fuel usage,49000,,litres,,
Jan-04,-66.28180556,110.5276111,Casey,Fuel usage,41642,,litres,,
Jan-04,-54.61988889,158.861,Macquarie Island,Fuel usage,14314,,litres,,
Feb-04,-67.60269444,62.87380556,Mawson,Fuel usage,30456,,litres,,
Feb-04,-68.57661111,77.96738889,Davis,Fuel usage,42550,,litres,,
Feb-04,-66.28180556,110.5276111,Casey,Fuel usage,42048,,litres,,
Feb-04,-54.61988889,158.861,Macquarie Island,Fuel usage,11861,,litres,,
Mar-04,-67.60269444,62.87380556,Mawson,Fuel usage,34493,,litres,,
